run_id,k,top1_hit,top3_hit,evidence_covered,lat_ms
2025-09-23T09:01:20+00:00,3,0,1,1,4213.630700000067
2025-09-23T09:01:24+00:00,3,1,1,1,3667.668499998399
2025-09-23T09:01:29+00:00,3,0,1,1,5464.29100000023
2025-09-23T09:01:34+00:00,3,0,1,1,4351.080600001296
2025-09-23T09:01:38+00:00,3,1,1,1,4203.485800000635
2025-09-23T09:01:43+00:00,3,0,0,1,4863.9901999995345
2025-09-23T09:01:55+00:00,3,0,1,1,4239.080399998784
2025-09-23T09:01:58+00:00,3,1,1,1,3255.2301999967312
2025-09-23T09:02:03+00:00,3,0,1,1,5186.888600001112
2025-09-23T09:02:08+00:00,3,0,1,1,4583.166700002039
2025-09-23T09:02:12+00:00,3,1,1,1,4590.233899998566
2025-09-23T09:02:18+00:00,3,0,0,1,5232.763799998793
2025-09-23T09:02:29+00:00,1,0,0,1,4596.656699999585
2025-09-23T09:02:33+00:00,1,1,1,1,3206.0210999989067
2025-09-23T09:02:37+00:00,1,0,0,1,4792.637700000341
2025-09-23T09:02:43+00:00,1,0,0,1,5148.188500003016
2025-09-23T09:02:47+00:00,1,1,1,1,4028.17689999938
2025-09-23T09:02:50+00:00,1,0,0,1,3509.3290000004345
2025-09-23T12:16:05+00:00,3,0,1,1,3619.45139999807
2025-09-23T12:16:09+00:00,3,1,1,1,4144.978100001026
2025-09-23T12:16:14+00:00,3,0,1,1,4841.41660000023
2025-09-23T12:16:17+00:00,3,0,1,1,3350.1851000000897
2025-09-23T12:16:22+00:00,3,1,1,1,4341.79149999909
2025-09-23T12:16:25+00:00,3,0,0,1,3509.682200001407
2025-09-23T12:16:35+00:00,3,0,1,1,3463.3652000011352
2025-09-23T12:16:38+00:00,3,1,1,1,2872.394899997744
2025-09-23T12:16:42+00:00,3,0,1,1,3742.4805000009655
2025-09-23T12:16:46+00:00,3,0,1,1,3702.783400000044
2025-09-23T12:16:49+00:00,3,1,1,1,3598.0535999988206
2025-09-23T12:16:52+00:00,3,0,0,1,3101.6565000027185
2025-09-23T12:17:01+00:00,1,0,0,1,2588.8297999990755
2025-09-23T12:17:05+00:00,1,1,1,1,3694.521599998552
2025-09-23T12:17:08+00:00,1,0,0,1,3369.194900002185
2025-09-23T12:17:11+00:00,1,0,0,1,3342.0742000016617
2025-09-23T12:17:15+00:00,1,1,1,1,3335.918500000844
2025-09-23T12:17:18+00:00,1,0,0,1,3303.737499998533
2025-09-23T16:05:43+00:00,3,0,1,1,6523.190100000647
2025-09-23T16:05:50+00:00,3,1,1,1,7438.7361999997665
2025-09-23T16:05:58+00:00,3,0,1,1,7294.158299999253
2025-09-23T16:06:02+00:00,3,0,1,1,4210.786300000109
2025-09-23T16:06:09+00:00,3,1,1,1,6757.402600000205
2025-09-23T16:06:14+00:00,3,0,0,1,5732.824200000323
2025-09-23T16:06:27+00:00,3,0,1,1,5224.498499999754
2025-09-23T16:06:32+00:00,3,1,1,1,5294.6577000002435
2025-09-23T16:06:37+00:00,3,0,1,1,4606.662199999846
2025-09-23T16:06:40+00:00,3,0,1,1,3372.9346999989502
2025-09-23T16:06:45+00:00,3,1,1,1,4602.164600000833
2025-09-23T16:06:51+00:00,3,0,0,1,5757.9953000004025
2025-09-23T16:07:02+00:00,1,0,0,1,3883.9415999991616
2025-09-23T16:07:07+00:00,1,1,1,1,4946.812000000136
2025-09-23T16:07:11+00:00,1,0,0,1,4543.682600000466
2025-09-23T16:07:18+00:00,1,0,0,1,6458.642900000996
2025-09-23T16:07:22+00:00,1,1,1,1,4272.147399999085
2025-09-23T16:07:27+00:00,1,0,0,1,4765.543999999863
2025-09-23T17:17:57+00:00,3,0,1,1,5284.27659999943
2025-09-23T17:18:03+00:00,3,1,1,1,6406.49189999931
2025-09-23T17:18:08+00:00,3,0,0,1,4450.381900000139
2025-09-23T17:18:12+00:00,3,0,0,1,4526.647200000298
2025-09-23T17:18:18+00:00,3,0,0,0,6103.802100000394
2025-09-23T17:18:23+00:00,3,0,0,0,4152.948999999353
2025-09-23T17:18:39+00:00,3,0,1,1,5348.609099999521
2025-09-23T17:18:45+00:00,3,1,1,1,5472.724299999754
2025-09-23T17:18:49+00:00,3,0,0,1,4285.317399999258
2025-09-23T17:18:54+00:00,3,0,0,1,4985.791199998857
2025-09-23T17:18:57+00:00,3,0,0,0,3568.8661000003776
2025-09-23T17:19:02+00:00,3,0,0,0,4256.436899999244
2025-09-23T17:19:34+00:00,1,0,0,1,5811.8251000014425
2025-09-23T17:19:40+00:00,1,1,1,1,6176.109300000462
2025-09-23T17:19:45+00:00,1,0,0,1,4625.771499999246
2025-09-23T17:19:51+00:00,1,0,0,1,5953.824500000337
2025-09-23T17:19:55+00:00,1,0,0,0,3718.677899998511
2025-09-23T17:20:00+00:00,1,0,0,0,5677.752100000362
2025-09-23T19:36:54+00:00,3,0,1,1,4561.226599998918
2025-09-23T19:36:59+00:00,3,1,1,1,5178.4339000005275
2025-09-23T19:37:03+00:00,3,0,0,1,3793.338399998902
2025-09-23T19:37:06+00:00,3,0,0,1,3679.373499999201
2025-09-23T19:37:10+00:00,3,0,0,0,3896.5386999989278
2025-09-23T19:37:14+00:00,3,0,0,0,3740.203000001202
2025-09-23T19:37:28+00:00,3,0,1,1,4137.36340000105
2025-09-23T19:37:32+00:00,3,1,1,1,3453.9341000017885
2025-09-23T19:37:36+00:00,3,0,0,1,4588.296900001296
2025-09-23T19:37:40+00:00,3,0,0,1,3596.817400000873
2025-09-23T19:37:45+00:00,3,0,0,0,4593.974100000196
2025-09-23T19:37:49+00:00,3,0,0,0,4190.21580000117
2025-09-23T19:38:03+00:00,1,0,0,1,4626.01530000029
2025-09-23T19:38:08+00:00,1,1,1,1,5224.59009999875
2025-09-23T19:38:15+00:00,1,0,0,1,6525.7283999999345
2025-09-23T19:38:18+00:00,1,0,0,1,3462.8956000015023
2025-09-23T19:38:25+00:00,1,0,0,0,6735.444499998266
2025-09-23T19:38:29+00:00,1,0,0,0,3599.1738000011537
